Date,VALE3,ELET3,BBAS3,B3SA3,ABEV3,ITUB4,BBDC4,WEGE3,PETR3,RENT3
2023-01-02,87.47887420654297,40.32733154296875,31.61541175842285,12.039817810058594,14.1899995803833,23.893169403076172,13.879215240478516,37.77153778076172,22.264846801757812,50.63621520996094
2023-01-03,87.32231140136719,39.57225036621094,31.02606964111328,11.636853218078613,14.170000076293945,23.395597457885742,13.190460205078125,36.82973098754883,21.950057983398438,49.39131164550781
2023-01-04,87.47887420654297,40.63532638549805,31.425302505493164,11.725308418273926,14.25,23.463890075683594,13.228147506713867,37.07757568359375,22.315893173217773,49.974246978759766
2023-01-05,88.94664001464844,40.714805603027344,32.86063766479492,12.088960647583008,14.289999961853027,24.19561195373535,13.802875518798828,37.156883239746094,23.039052963256836,50.38920974731445
2023-01-06,90.35569763183594,40.734676361083984,33.3169059753418,12.373984336853027,14.319999694824219,24.615131378173828,14.189167976379395,37.70214080810547,22.894420623779297,51.34759521484375
2023-01-09,90.45355224609375,41.03273391723633,32.993717193603516,12.206901550292969,14.399999618530273,24.790746688842773,14.36893081665039,37.59308624267578,23.047561645507812,51.28831100463867
2023-01-10,91.56905364990234,40.63532638549805,33.55453872680664,12.639351844787598,14.539999961853027,25.2688045501709,14.80019760131836,37.22628402709961,23.183687210083008,52.938316345214844
2023-01-11,91.24613952636719,42.47335433959961,34.029815673828125,13.219228744506836,14.289999961853027,25.707841873168945,15.094240188598633,38.26722717285156,23.48145866394043,54.36106872558594
2023-01-12,91.7256088256836,42.09580993652344,33.81119155883789,13.140602111816406,14.100000381469727,25.34685707092285,14.741387367248535,38.17800521850586,23.60907554626465,53.87693405151367
2023-01-13,91.80389404296875,41.3109245300293,33.887237548828125,12.9342041015625,13.880000114440918,25.22002601623535,14.69237995147705,38.6340446472168,23.558029174804688,53.06675720214844
2023-01-16,90.26763153076172,40.555843353271484,33.84921646118164,12.727807998657227,13.199999809265137,24.94684600830078,14.241514205932617,37.365074157714844,22.970991134643555,53.10627746582031
2023-01-17,90.15020751953125,41.291053771972656,35.83586883544922,12.786778450012207,13.859999656677246,25.463932037353516,14.339527130126953,37.979732513427734,24.58746910095215,54.92424011230469
2023-01-18,91.3342056274414,41.43014907836914,36.34917068481445,12.85557746887207,13.779999732971191,25.92247772216797,14.555159568786621,37.66249084472656,24.272682189941406,57.255977630615234
2023-01-19,91.7256088256836,41.43014907836914,37.176151275634766,12.747465133666992,13.640000343322754,25.92247772216797,14.584566116333008,37.58317947387695,25.09793472290039,56.228431701660156
2023-01-20,91.9702377319336,40.714805603027344,38.08868408203125,12.550896644592285,13.529999732971191,25.463932037353516,14.378734588623047,37.0081787109375,25.378692626953125,54.53891372680664
2023-01-23,92.2735824584961,40.615455627441406,37.80352020263672,12.432954788208008,13.420000076293945,24.683425903320312,13.77104377746582,37.04783630371094,25.965730667114258,55.65538024902344
2023-01-24,93.25209045410156,41.37053680419922,37.6134033203125,12.619694709777832,13.609999656677246,24.90782356262207,13.918065071105957,36.88920974731445,25.770050048828125,57.532623291015625
2023-01-25,94.13274383544922,42.403804779052734,38.64000701904297,12.885063171386719,13.710000038146973,24.995630264282227,13.820052146911621,38.38619613647461,25.880651473999023,58.48112487792969
2023-01-26,95.89407348632812,42.403804779052734,38.620994567871094,12.894890785217285,13.739999771118164,24.849285125732422,13.859257698059082,37.88058853149414,25.157489776611328,58.579933166503906
2023-01-27,93.27165985107422,41.03273391723633,38.19324493408203,12.491926193237305,13.649999618530273,24.322446823120117,13.447596549987793,37.58317947387695,24.58746910095215,58.135318756103516
2023-01-30,92.93897247314453,40.43661880493164,38.79209518432617,12.64918041229248,13.529999732971191,24.33220100402832,13.516205787658691,37.02800369262695,24.664037704467773,57.79938888549805
2023-01-31,92.47907257080078,40.38694381713867,38.687530517578125,12.73763656616211,13.65999984741211,24.712697982788086,13.741639137268066,37.910335540771484,25.06390380859375,58.50088882446289
2023-02-01,91.45162963867188,39.562313079833984,38.22175598144531,12.688494682312012,13.180000305175781,24.38821792602539,13.476999282836914,38.05904006958008,24.570451736450195,57.82902908325195
2023-02-02,87.2244644165039,38.74761962890625,37.49933624267578,12.776949882507324,13.109999656677246,24.612768173217773,13.682108879089355,37.71205520629883,23.404888153076172,59.42963409423828
2023-02-03,87.03854370117188,37.754093170166016,37.26170349121094,11.902219772338867,12.979999542236328,24.524906158447266,13.377843856811523,37.58317947387695,23.685646057128906,57.2362174987793
2023-02-06,85.952392578125,37.962730407714844,37.47081756591797,11.902219772338867,13.020000457763672,24.534664154052734,13.328770637512207,37.24610900878906,24.544931411743164,57.117652893066406
2023-02-07,86.51993560791016,36.631404876708984,36.95752716064453,11.685995101928711,12.960000038146973,23.96840476989746,13.250248908996582,37.34524917602539,24.417314529418945,56.6038818359375
2023-02-08,86.81349182128906,37.03874969482422,37.83203125,11.912049293518066,13.1899995803833,25.950315475463867,13.898038864135742,37.33533477783203,24.910764694213867,57.848793029785156
2023-02-09,86.4905776977539,36.224056243896484,37.632415771484375,11.450113296508789,13.020000457763672,25.305952072143555,13.544699668884277,37.65257263183594,24.910764694213867,55.99130630493164
2023-02-10,84.93475341796875,36.790367126464844,38.373844146728516,11.597539901733398,12.859999656677246,25.188791275024414,12.435603141784668,38.26722717285156,25.591386795043945,56.129634857177734
2023-02-13,84.8466796875,36.40289306640625,38.59247589111328,11.71548080444336,13.130000114440918,26.077234268188477,12.877278327941895,38.24740219116211,25.719003677368164,55.922142028808594
